tps,actual_tps,latency,quantile,success,error
1900,1896.9155659699281,0.918356,p99,959336.7265525463,54591.92741816607
2000,1996.7540606250157,0.5157029999999999,p50,805710.4022210737,98878.64951437933
2000,1996.7540606250157,0.7091569999999999,p90,918931.7346452418,112773.4340616049
2000,1996.7540606250157,0.749897,p95,833062.5911565355,102235.3735876258
2000,1996.7540606250157,0.9861900000000001,p99,937869.9586546404,115097.57684179989
2100,2093.771590584925,0.511636,p50,857136.9302136566,167174.16678903974
2100,2093.771590584925,0.722773,p90,844968.3750414047,164800.83762745454
2100,2093.771590584925,0.760687,p95,904384.0412659203,176389.1430022132
2100,2093.771590584925,0.943258,p99,792373.4450812216,154542.8341702592
2200,2201.5536687881013,42.842084,p50,815730.8322265728,234231.16147781443
2200,2201.5536687881013,45.024058,p90,766759.951118656,220169.52998450666
2200,2201.5536687881013,45.455634,p95,853677.1512242451,245127.1703345247
2200,2201.5536687881013,46.998765,p99,750180.3626716295,215408.8220336117
2300,2282.434823111691,86.074816,p50,766884.4433223933,280799.58946327656
2300,2282.434823111691,88.54412,p90,797012.2527324166,291831.0774370206
2300,2282.434823111691,89.437507,p95,683369.6168354392,250220.10751416255
2300,2282.434823111691,90.092704,p99,793193.7127078169,290432.8948547642
2400,2379.5773936027263,130.600772,p50,679609.0534879898,322745.6143672634
2400,2379.5773936027263,134.207115,p90,624803.480964711,296718.50645280443
2400,2379.5773936027263,135.188096,p95,625840.0643276839,297210.7787858591
2400,2379.5773936027263,136.747677,p99,667182.3967935285,316844.2083621478
